descrizione
ACCETTAZIONE DELLA PROPOSTA CONTRATTUALE, Conoscenza e Accettazione Condizione Generali di Contratto del Servizio, Versione in vigore, nuova ed Marzo 2021
CONDIZIONI GENERALI DEL SERVIZIO, edi vecchia
INFORMATIVA PRIVACY, Informativa Privacy soggetti giuridici (2 scelte), luogo e data, manca data
ACCETTAZIONE DELLA PROPOSTA CONTRATTUALE, Conoscenza e Accettazione Condizione Generali di Contratto del Servizio, Luogo e data, manca luogo e data
ACCETTAZIONE DELLA PROPOSTA CONTRATTUALE, Conoscenza e Accettazione Condizione Generali di Contratto del Servizio, Firma, manca firma cliente
ACCETTAZIONE DELLA PROPOSTA CONTRATTUALE, Approvazione specifica Articoli, Data, manca data
ACCETTAZIONE DELLA PROPOSTA CONTRATTUALE, Approvazione specifica Articoli, Firma, manca firma
INFORMATIVA PRIVACY, Informativa Privacy soggetti giuridici (2 scelte), spunta scelte, mancano scelte
INFORMATIVA PRIVACY, Informativa Privacy soggetti giuridici (2 scelte), luogo e data, manca luogo e data
INFORMATIVA PRIVACY, Informativa Privacy soggetti giuridici (2 scelte), nome e cognome, manca nome cognome
INFORMATIVA PRIVACY, Informativa Privacy soggetti giuridici (2 scelte), firma del richiedente, manca firma
SCHEDA CLIENTE, SEDE LEGALE, Numero Civico, manca SNC
SCHEDA CLIENTE, DATI ANAGRAFICI, Natura giuridica, manca descriz natura giurid
ALLEGATO AMMINISTRATIVO, MODALITA DI EMISSIONE E TRASMISSIONE DELLE FATTURE, TIPOLOGIA DI CLIENTE, allegato non corretto, il cliente è residente in Italia, rigenerare il documento coerentemente alla sede legale del cliente.
ALLEGATO AMMINISTRATIVO, MODALITA DI EMISSIONE E TRASMISSIONE DELLE FATTURE, Codice Destinatario, codice  destinatario assente.
ALLEGATO AMMINISTRATIVO, MODALITA DI EMISSIONE E TRASMISSIONE DELLE FATTURE, indirizzo PEC (obbligatorio se non fornito Codice Destinatario), indirizzo pec assente
manca la sede legale in SFA su allegato Amministrativo risulta residente all'estero ma risulta come sede legale Italia,prego verificare 
SCHEDA CLIENTE, DATI ANAGRAFICI, Natura giuridica, MANCA INDICAZIONE NATURA GIURIDICA
SCHEDA CLIENTE, RIFERIMENTI DEL CLIENTE SYSTEM ADMINISTRATOR, Codice Fiscale
SCHEDA CLIENTE, DATI ANAGRAFICI, manca Natura giuridica
manca il contratto , non si scarica da sharepoint, non è presente neppure in SFA
sede legale non corrisponde a CERVED
SCHEDA CLIENTE, SEDE LEGALE, Via, non corrisponde a CERVED
SCHEDA CLIENTE, SEDE LEGALE, Numero Civico, non corrisponde a CERVED
ALLEGATO AMMINISTRATIVO, MODALITA DI EMISSIONE E TRASMISSIONE DELLE FATTURE, e-mail, schema conto è presente indirizzo mail , nel allegato amministrativo solo indirizzo fisico 
INFORMATIVA PRIVACY, Informativa Privacy soggetti giuridici (2 scelte), l e data, manca data 
ACCETTAZIONE DELLA PROPOSTA CONTRATTUALE, Conoscenza e Accettazione Condizione Generali di Contratto del Servizio, Firma, Non coerente con la firma approvazione specifica articoli 
SCHEDA CLIENTE, SEDE LEGALE, Via, non coincide come da visura 
SCHEDA CLIENTE, SEDE LEGALE, Numero Civico, non coincide come da visura 
SCHEDA CLIENTE, SEDE LEGALE, CAP, non coincide come da visura 
SCHEDA CLIENTE, SEDE LEGALE, Località, non coincide come da visura 
SCHEDA CLIENTE, SEDE LEGALE, Provincia, non coincide come da visura 
INFORMATIVA PRIVACY, Informativa Privacy soggetti giuridici (2 scelte), firma del richiedente, firma per esteso
SCHEDA CLIENTE, RIFERIMENTI DEL CLIENTE SYSTEM ADMINISTRATOR, Telefono Cellulare, manca cell.
ACCETTAZIONE DELLA PROPOSTA CONTRATTUALE, Presenza del timbro,  verificare nominativo rapp.leg. scheda cliente/ proposta contrattuale
INFORMATIVA PRIVACY, Informativa Privacy soggetti giuridici (2 scelte), firma del richiedente,  verificare nominativo rapp.leg. scheda cliente/ proposta contrattuale 
INFORMATIVA PRIVACY, Informativa Privacy soggetti giuridici (2 scelte), firma del richiedente,  verificare nominativo rapp.leg. scheda cliente/ proposta contrattuale
Manca la natura giuridica 
la policy del credito è scaduta
In SFA la sede legale differisce da CERVED/CRM
SCHEDA CLIENTE, SEDE LEGALE, Via
SCHEDA CLIENTE, SEDE LEGALE, Numero Civico
SCHEDA CLIENTE, SEDE LEGALE, CAP
SCHEDA CLIENTE, DATI ANAGRAFICI, Ragione sociale, Non coincide come riportato da Visura e CRM,RAGIONE SOCIALE esatta da Riportare è la seguente:
POLICY DEL CREDITO, Validità, Ragione Sociale, Cliente: SPINA ANNA non coincide come riportato su VISURA, ragione sociale esatta da riportare è la seguente: 
SCHEDA CLIENTE, SEDE LEGALE, Località, Non coincide come riportato da VISURA e CRM, località da riportare:
"SCHEDA CLIENTE, SEDE LEGALE, Provincia, Non coincide come riportato da Visura e CRM, Provincia esatta da riportare è la seguente:""(VT)""VITERBO"
ACCETTAZIONE DELLA PROPOSTA CONTRATTUALE, Conoscenza e Accettazione Condizione Generali di Contratto del Servizio, Versione in vigore, Versione non aggiornata a Marzo 2021
SCHEDA CLIENTE, DATI ANAGRAFICI, Natura giuridica, Manca la Natura Giuridica
ACCETTAZIONE DELLA PROPOSTA CONTRATTUALE, non aggiornata alla Versione in vigore Marzo 2021
SCHEDA CLIENTE, DATI ANAGRAFICI, Manca la Natura giuridica
la sede legale in SFA, sulla  SCHEDA CLIENTE e in CRM non corrisponde a quella indicata in CERVED LINCE
SCHEDA CLIENTE, DATI ANAGRAFICI, Natura giuridica, Dato mancante ( non sono consentite correzioni manuali )
SCHEDA CLIENTE, DATI ANAGRAFICI, Natura giuridica, Manca natura giuridica
INFORMATIVA PRIVACY, Informativa Privacy soggetti giuridici (2 scelte), firma del richiedente, manca firma cliente nell'informativa privacy
il nr civico della sede legale  indicato in SFA, sulla  SCHEDA CLIENTE e in CRM non corrisponde al nr.  indicato in CERVED LINCE
SCHEDA CLIENTE, SEDE LEGALE, Numero Civico, il nr. civico non corrisponde a quello indicato in lince cerved
Il dato sede legale su SFA non è corretto. I dati anagrafici tra SFA CRM e contratto devono coincidere ( nel caso specifico l'anagrafica SFA riporta un dato errato, aprire tkt tecnico per farlo correggere).Sede legale differisce da SFA. 
Il dato sede legale su SFA non è corretto. I dati anagrafici tra SFA CRM e contratto devono coincidere ( nel caso specifico l'anagrafica SFA riporta un dato errato, aprire tkt tecnico per farlo correggere).Sede legale  differisce da SFA. 
ACCETTAZIONE DELLA PROPOSTA CONTRATTUALE, Conoscenza e Accettazione Condizione Generali di Contratto del Servizio, Versione in vigore, LA VERSIONE NON E' AGGIORNATA. E' DI OTTOBRE 2020
INFORMATIVA PRIVACY, Informativa Privacy soggetti giuridici (2 scelte), luogo e data, MANCA LA DATA
POLICY DEL CREDITO, Validità, Validità, LA POLICY DEL CREDITO NON E' AGGIORNATA
ACCETTAZIONE DELLA PROPOSTA CONTRATTUALE, Conoscenza e Accettazione Condizione Generali di Contratto del Servizio, Firma, manca la firma autografa e la firma digitale non è riscontrabile con il  presente formato del file.
ACCETTAZIONE DELLA PROPOSTA CONTRATTUALE, Approvazione specifica Articoli, Firma, manca la firma autografa e la firma digitale non è riscontrabile con il  presente formato del file.
SCHEDA CLIENTE, SEDE LEGALE, Via, non essendo disponibile la visura camerale e sul CRM risulta una sede legale differente, si richiede documentazione attestante il corretto indirizzo della sede legale o in alternativa un autocertificazione del Cliente (da allegare al contratto).
SCHEDA CLIENTE, SEDE LEGALE, Numero Civico, non essendo disponibile la visura camerale e sul CRM risulta una sede legale differente, si richiede documentazione attestante il corretto indirizzo della sede legale o in alternativa un autocertificazione del Cliente (da allegare al contratto).
SCHEDA CLIENTE, SEDE LEGALE, CAP, non essendo disponibile la visura camerale e sul CRM risulta una sede legale differente, si richiede documentazione attestante il corretto indirizzo della sede legale o in alternativa un autocertificazione del Cliente (da allegare al contratto).
SCHEDA CLIENTE, SEDE LEGALE, Località, non essendo disponibile la visura camerale e sul CRM risulta una sede legale differente, si richiede documentazione attestante il corretto indirizzo della sede legale o in alternativa un autocertificazione del Cliente (da allegare al contratto).
SCHEDA CLIENTE, SEDE LEGALE, Provincia, non essendo disponibile la visura camerale e sul CRM risulta una sede legale differente, si richiede documentazione attestante il corretto indirizzo della sede legale o in alternativa un autocertificazione del Cliente (da allegare al contratto).
SCHEDA CLIENTE, SEDE LEGALE, Nazione, non essendo disponibile la visura camerale e sul CRM risulta una sede legale differente, si richiede documentazione attestante il corretto indirizzo della sede legale o in alternativa un autocertificazione del Cliente (da allegare al contratto).
INFORMATIVA PRIVACY, Informativa Privacy Persone fisiche o assimilate, liberi professionisti e Amministratori di condominio (4 scelte), firma del richiedente
ACCETTAZIONE DELLA PROPOSTA CONTRATTUALE, Conoscenza e Accettazione Condizione Generali di Contratto del Servizio, Luogo e data, luogo e data non leggibili
ACCETTAZIONE DELLA PROPOSTA CONTRATTUALE, Approvazione specifica Articoli, Data, luogo e data illeggibili
ALLEGATO AMMINISTRATIVO, MODALITA DI EMISSIONE E TRASMISSIONE DELLE FATTURE, indirizzo PEC (obbligatorio se non fornito Codice Destinatario), indicato indirizzo non certificato per fatturazione con schema pec
ALLEGATO AMMINISTRATIVO, MODALITA DI EMISSIONE E TRASMISSIONE DELLE FATTURE, pec, indicato indirizzo non certificato per fatturazione con schema pec
INFORMATIVA PRIVACY, Informativa Privacy soggetti giuridici (2 scelte), luogo e data, luogo e data illeggibili
INFORMATIVA PRIVACY, Informativa Privacy soggetti giuridici (2 scelte), nome e cognome, nome e cognome ileggibili
Il cliente è una ditta individuale non un libero professionista, modificare SFA. 
SCHEDA CLIENTE, DATI ANAGRAFICI, Natura giuridica, campo non compilato ( no modifiche manuali )
inserito modulo Privacy non pertinente a tipologia natura giuridica ( il cliente è una ditta individuale, necessario modulo a 2 scelte)
SCHEDA CLIENTE, SEDE LEGALE, Via,non correzione a mano in CERVED risulta  su contratto e CRM risulta 
SCHEDA CLIENTE, SEDE LEGALE, Via,non correzione a mano in CERVED risulta su contratto e CRM risulta 
SCHEDA CLIENTE, SEDE LEGALE, Via,non correzione a mano  in CERVED risulta su contratto e CRM risulta 
SCHEDA CLIENTE, SEDE LEGALE, Numero Civico,non correzione a mano  in CERVED risulta su contratto e CRM risulta 
SCHEDA CLIENTE, SEDE LEGALE, Numero Civico,non correzione a mano in CERVED risulta su contratto e CRM risulta 
SCHEDA CLIENTE, SEDE LEGALE, CAP,non correzione a mano in CERVED risulta su contratto e CRM risulta 
SCHEDA CLIENTE, SEDE LEGALE, CAP,non correzione a mano  in CERVED risulta su contratto e CRM risulta 
SCHEDA CLIENTE, SEDE LEGALE, Provincia,non correzioni a mano  in CERVED risulta su contratto e CRM risulta 
SCHEDA CLIENTE, SEDE LEGALE, non correzione  a mano  in CERVED risulta su contratto e CRM risulta 
Manca sede legale in SFA  in CERVED risulta su contratto e CRM risulta 
Allegato amministrativo non corretto il cliente non risulta essere residente all'estero  in CERVED risulta su contratto e CRM risulta 
Allegato amministrativo non corretto il cliente non risulta essere residente all'estero in CERVED risulta su contratto e CRM risulta 
CENTRI DI COSTO , E' necessario associare tutti i listini personalizzati ad un centro di costo.
Indirizzo Sede Legale non coerente con Cerved
ACCETTAZIONE DELLA PROPOSTA CONTRATTUALE, Conoscenza e Accettazione Condizione Generali di Contratto del Servizio, Luogo e data, LUOGO E DATA MANCANTI
ACCETTAZIONE DELLA PROPOSTA CONTRATTUALE, Conoscenza e Accettazione Condizione Generali di Contratto del Servizio, Firma, FIRMA MANCANTE
ACCETTAZIONE DELLA PROPOSTA CONTRATTUALE, Presenza del timbro, TIMBRO MANCANTE
ACCETTAZIONE DELLA PROPOSTA CONTRATTUALE, Approvazione specifica Articoli, Data, LUOGO E DATA MANCANTI
ACCETTAZIONE DELLA PROPOSTA CONTRATTUALE, Approvazione specifica Articoli, Firma, FIRMA MANCANTE
SCHEDA CLIENTE, SEDE LEGALE, Via, Indirizzo non coerente con Cerved
INFORMATIVA PRIVACY, Informativa Privacy soggetti giuridici (2 scelte), spunta scelte, MANCANTI
INFORMATIVA PRIVACY, Informativa Privacy soggetti giuridici (2 scelte), luogo e data, MANCANTI
INFORMATIVA PRIVACY, Informativa Privacy soggetti giuridici (2 scelte), nome e cognome, MANCANTI
INFORMATIVA PRIVACY, Informativa Privacy soggetti giuridici (2 scelte), firma del richiedente, MANCANTE
SCHEDA CLIENTE, DATI ANAGRAFICI, Ragione sociale  sul contratto e su CRM differente da CERVED, ALLINEARE, aggiungere il secondo nome, Maria, nella ragione sociale
SCHEDA CLIENTE, SEDE LEGALE, Via, DIVERSA DA CRM E VISURA
SCHEDA CLIENTE, SEDE LEGALE, CAP, DIVERSA DA CRM E VISURA
INFORMATIVA PRIVACY, Informativa Privacy soggetti giuridici (2 scelte), nome e cognome, mancante
INDIRIZZO SFA /CONTRATTO \crm discordante con la cerved
SCHEDA CLIENTE, SEDE LEGALE, Via, via della sede legale discordante con cerved
SCHEDA CLIENTE, SEDE LEGALE, Numero Civico, nr discordante con cerved 
SCHEDA CLIENTE, SEDE LEGALE, CAP, cap discordante con cerved
SCHEDA CLIENTE, SEDE LEGALE, Località, localita discordante con la cerved 
SCHEDA CLIENTE, SEDE LEGALE, Provincia, prov discordante con la cerved
INFORMATIVA PRIVACY, Informativa Privacy soggetti giuridici (2 scelte), nome e cognome, MANCANO NOME E COGNOME DI CHI FIRMA LA PRIVACY
ACCETTAZIONE DELLA PROPOSTA CONTRATTUALE, Conoscenza e Accettazione Condizione Generali di Contratto del Servizio, Firma, Le firme non sono coerenti tra loro
ACCETTAZIONE DELLA PROPOSTA CONTRATTUALE, Approvazione specifica Articoli, Firma, le firme non sono coerenti tra loro
INFORMATIVA PRIVACY, Informativa Privacy soggetti giuridici (2 scelte), firma del richiedente, le firme non sono coerenti tra loro
La ragione sociale  e il numero civico della sede legale su  SFA e CRM sono differenti dalla visura camerale. Allineare
SCHEDA CLIENTE, SEDE LEGALE, Numero Civico discordante dalla visura camerale
SCHEDA CLIENTE, DATI ANAGRAFICI, Ragione sociale discordante dalla visura camerale
l’intestazione del cliente  nella scheda cliente sul  crm ed in sfa discordano  dai dati della visura camerale,
i dati dell'indirizzo della sede legale non sono presenti nella scheda cliente  ed in sfa 
manca la natura giuridica sulla scheda cliente
SCHEDA CLIENTE, SEDE LEGALE, Via, i dati dell'indirizzo della sede legale non sono presenti nella scheda cliente  ed in sfa
SCHEDA CLIENTE, SEDE LEGALE, Numero Civico, i dati dell'indirizzo della sede legale non sono presenti nella scheda cliente  ed in sfa
SCHEDA CLIENTE, SEDE LEGALE, manca CAP
SCHEDA CLIENTE, DATI ANAGRAFICI, Ragione sociale, l’intestazione del cliente  nella scheda cliente sul  crm ed in sfa discordano  dai dati della visura camerale,
SCHEDA CLIENTE, SEDE LEGALE, manca Località
SCHEDA CLIENTE, SEDE LEGALE, manca Provincia
SCHEDA CLIENTE, SEDE  LEGALE, manca Nazione
ALLEGATO AMMINISTRATIVO, MODALITA DI EMISSIONE E TRASMISSIONE DELLE FATTURE, TIPOLOGIA DI CLIENTE, allegato B errato cliente con sede in italia
ALLEGATO AMMINISTRATIVO, MODALITA DI EMISSIONE E TRASMISSIONE DELLE FATTURE, Codice Destinatario, allegato B errato cliente con sede in italia manca codice destinatario
ALLEGATO AMMINISTRATIVO, MODALITA DI EMISSIONE E TRASMISSIONE DELLE FATTURE, indirizzo PEC (obbligatorio se non fornito Codice Destinatario), allegato B errato cliente con sede in italiamanca pec
ALLEGATO AMMINISTRATIVO, MODALITA DI EMISSIONE E TRASMISSIONE DELLE FATTURE, indirizzo per comunicazione emissione, allegato B errato cliente con sede in italiamanca indirizzo per comunicazione emissione
ALLEGATO AMMINISTRATIVO, MODALITA DI EMISSIONE E TRASMISSIONE DELLE FATTURE, e-mail, allegato B errato cliente con sede in italia manca indirizzo @ per comunicazione emissione
ALLEGATO AMMINISTRATIVO, MODALITA DI EMISSIONE E TRASMISSIONE DELLE FATTURE, pec, allegato B errato cliente con sede in italia O Manca indirizzo PEC  per comunicazione emissione
ALLEGATO AMMINISTRATIVO, MODALITA DI EMISSIONE E TRASMISSIONE DELLE FATTURE, indirizzo fisico, allegato B errato cliente con sede in italiao manca  indirizzo fisico per comunicazione emissione
INFORMATIVA PRIVACY, Informativa Privacy soggetti giuridici (2 scelte), luogo e data, data non leggibile
SCHEDA CLIENTE, SEDE LEGALE, Via, non coerente con Visura Camerale
SCHEDA CLIENTE, SEDE LEGALE, Numero Civico, non coerente con Visura Camerale
SCHEDA CLIENTE, SEDE LEGALE, CAP, non coerente con Visura Camerale
SCHEDA CLIENTE, SEDE LEGALE, Località, non coerente con Visura Camerale
SCHEDA CLIENTE, SEDE LEGALE, Provincia, non coerente con Visura Camerale
SCHEDA CLIENTE, SEDE LEGALE, Nazione, non coerente con Visura Camerale
SEDE LEGALE DISALLINEATA, DA VISURA CAMERALE RISULTA ESSERE. Vi invitiamo a regolarizzare i dati anagrafici del cliente su SFA e rigenerare il contratto
SCHEDA CLIENTE, SEDE OPERATIVA, Via, indicato indirizzo Sede Legale
